v,tunning,n,dataset,task,params,acc,f1,cm,embeddings,lang,loss,val_loss
_grid,,0.0,b5post,it,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 50, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5032894736842105,0.5022337887659943,"[[139 165]
 [137 167]]",nilc-fasttext-100dim,pt,0.8590727605191062,1.0963513697187106
_grid,,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.3443708609271523,0.33548768397773204,"[[75 43 33]
 [74 47 30]
 [76 41 34]]",nilc-fasttext-100dim,pt,1.5441024726475687,1.6252911800429934
_grid,,0.0,b5post,it,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.513986013986014,0.5108223510157874,"[[124 162]
 [116 170]]",nilc-fasttext-100dim,pt,0.6809783253461105,1.1020869732230576
_grid,,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.3554083885209713,0.3444434106026677,"[[68 62 21]
 [70 64 17]
 [59 63 29]]",nilc-fasttext-100dim,pt,1.5966849111128545,1.7076264179888223
_grid,,0.0,b5post,it,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5202020202020202,0.5163515957340434,"[[181 116]
 [169 128]]",nilc-fasttext-100dim,pt,0.9537264786650296,1.2906173547108968
_grid,max-pooling,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.4437086092715232,0.39611542248957865,"[[105   8  38]
 [ 93  14  44]
 [ 59  10  82]]",nilc-fasttext-100dim,pt,1.1348035119327844,1.175208554381416
_grid,max-pooling,0.0,b5post,religion,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.4457142857142857,0.44251577020773697,"[[82 37 56]
 [31 54 90]
 [32 45 98]]",nilc-fasttext-100dim,pt,1.0251294579467745,1.1250522120131388
_grid,max-pooling,0.0,b5post,it,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.706953642384106,0.7059663192983325,"[[231  71]
 [106 196]]",nilc-fasttext-100dim,pt,0.6746112365438379,0.7304806565190409
_grid,global2 - max-pooling,0.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.7064846416382252,0.7062656641604009,"[[199  94]
 [ 78 215]]",nilc-fasttext-100dim,pt,0.6258666871418003,0.6821288984719214
_grid,global2 - max-pooling,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [10, 10], 'n_classes': 2}",0.40618101545253865,0.38401300714185066,"[[ 32  58  61]
 [ 30  50  71]
 [ 13  36 102]]",nilc-fasttext-100dim,pt,1.119453634051082,1.15715377671378
