acc,cm,dataset,f1,n,params,task,tunning,v,embeddings,lang,loss,val_loss
0.5749322013913454,"[[1999  451  377]
 [ 700  840 1287]
 [  91  699 2037]]",pan13,0.5615378404407814,5.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [10, 10], 'n_classes': 3, 'max_seq_length': 415, 'embedding_dim': 100, 'max_num_words': 69900, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.93295664635813,0.8807363307681577
0.5183491616836675,"[[1549  746  548]
 [ 546  700 1597]
 [  58  613 2172]]",pan13,0.5041325675647642,6.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [50, 50], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9386112418661616,0.8891655758095248
0.547891350964975,"[[1603  950  245]
 [ 580 1464  754]
 [  37 1229 1532]]",pan13,0.5561516392958638,7.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [50, 50], 'n_classes': 3, 'max_seq_length': 415, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9180329126335092,0.8572610429688996
0.5788972251994761,"[[1926  646  227]
 [ 670 1394  735]
 [ 111 1147 1541]]",pan13,0.5822146465870155,8.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [50, 50], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9062423890452628,0.9144922103042956
0.5454014939309056,"[[1375  888  593]
 [ 426  798 1632]
 [   8  348 2500]]",pan13,0.5251400708633599,9.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [50, 50], 'n_classes': 3, 'max_seq_length': 415, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9162782298348774,0.9155927321567492
0.572791519434629,"[[1971  585  274]
 [ 800 1248  782]
 [ 230  956 1644]]",pan13,0.5716080149384756,10.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [50, 50], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 68586, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9927495101579218,0.9035863251422104
0.5559882005899704,"[[1972  680  173]
 [ 703 1447  675]
 [ 153 1379 1293]]",pan13,0.5585131549819359,11.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [7, 8], 'features_maps': [50, 50], 'n_classes': 3, 'max_seq_length': 411, 'embedding_dim': 100, 'max_num_words': 70750, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9274302598501596,0.9170509139973666
0.5466856735566643,"[[1734  814  258]
 [ 575 1421  810]
 [  80 1279 1447]]",pan13,0.5537104131426449,12.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [10, 10, 10], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9517120303624499,0.9059097886649148
0.5807511737089202,"[[1668  706  466]
 [ 550  995 1295]
 [   7  548 2285]]",pan13,0.5711142049338401,13.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [10, 10, 10], 'n_classes': 3, 'max_seq_length': 406, 'embedding_dim': 100, 'max_num_words': 1000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9032607976689426,0.8509872534136841
0.5881052141527002,"[[1775  771  318]
 [ 675 1172 1017]
 [  99  659 2106]]",pan13,0.5842341941570965,14.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'epochs': 100, 'kernel_size': [3, 4, 5], 'features_maps': [10, 10, 10], 'n_classes': 3, 'max_seq_length': 200, 'embedding_dim': 100, 'max_num_words': 10000, 'optimizer': None, 'strides': [1], 'batch_size': 2, 'pool_size': [3, 3, 3]}",age,test channels,_grid,nilc-fasttext-100dim,en,0.903446009552374,0.8677430195316301
